,contrast,dissimilarity,homogeneity,entropy,ASM,energy,correlation,filename,labels
0,2213.334716641401,28.130096831564156,0.1774065701051794,8.710202829707043,0.00451915949690593,0.06722469410050097,0.7970140433804563,4 (1).jpg,Betawi
1,1610.3528875785905,23.791280075645762,0.140286218366811,9.317150512170354,0.00029386457918962456,0.017142478793617466,0.6558537376678784,4 (10).jpg,Betawi
2,822.4702311862998,13.543375691523591,0.24383918349803568,8.536313956493633,0.000643747682309199,0.02537218323891736,0.7639010303237005,4 (11).jpg,Betawi
3,1073.831038547155,16.865565696073812,0.271188687189419,8.102969864431834,0.0030257071151292424,0.05500642794373438,0.8741227853890914,4 (12).jpg,Betawi
4,2284.88025082691,31.12229810935733,0.16863930736634955,9.011236125827715,0.00539948365514582,0.07348117891777335,0.7408203293726459,4 (13).jpg,Betawi
5,1801.2849290609224,22.676490941229847,0.44323975964881385,6.802305738500678,0.108034451147932,0.3286859460760864,0.634143560533164,4 (14).jpg,Betawi
6,596.6689298497047,14.966613859062008,0.1906635068730735,9.159435901409587,0.00040674048963401085,0.020167808250625818,0.8997996034418897,4 (15).jpg,Betawi
7,353.4601680087796,9.939738532259414,0.31806898547690243,7.830728387091428,0.002178859000752083,0.046678249761019135,0.9395898447138734,4 (16).jpg,Betawi
8,1869.9897950217671,29.13662704340122,0.07564975339862898,9.819796485745114,0.00014574535343521054,0.012072504025064996,0.762117734139435,4 (17).jpg,Betawi
9,1961.9804200629028,23.89305015078333,0.2515356148046338,8.405327619639344,0.003207500751772866,0.05663480159559903,0.6436261132345072,4 (18).jpg,Betawi
10,1575.171205366105,25.245190183557494,0.14229618577950143,9.295098484324525,0.00026593055375144037,0.016307377279974864,0.5056932466486906,4 (19).jpg,Betawi
11,1996.5983031377048,24.291852397541064,0.22309957975546948,8.47241005812588,0.00247680960740246,0.049767555770827844,0.8031645086265654,4 (2).jpg,Betawi
12,729.1909967351183,13.688005074427247,0.3591546425262392,7.314546514351793,0.006108686896695714,0.07815808913155256,0.8453846795761454,4 (20).jpg,Betawi
13,1530.2307157207745,23.148416297876548,0.10002720268469356,9.830672136923814,0.00010612366117050273,0.010301633907808156,0.8278802964768333,4 (21).jpg,Betawi
14,1592.1578774486927,28.3655040611565,0.05324537168181595,9.83924269488896,7.581104135484627e-05,0.008706953620804826,0.637045118589235,4 (3).jpg,Betawi
15,3240.5829481857336,32.59121695433672,0.30277893414777274,7.980696221086543,0.020126962183851745,0.1418695252119064,0.38677048442479584,4 (5).jpg,Betawi
16,694.5670310803711,11.959072948771643,0.3198150657661853,7.6643823804928415,0.005403782423614142,0.07351042391126678,0.8838283343177148,4 (6).jpg,Betawi
17,1654.5480156610536,23.182369663591338,0.22606463736304724,9.007430642770089,0.0008531847920011055,0.029209327140506086,0.6966891156186797,4 (7).jpg,Betawi
18,2401.1549834663706,25.559106411844805,0.25705690225308503,8.788337188216031,0.0026831287430637498,0.05179892608021666,0.865580552782237,4 (8).jpg,Betawi
19,1787.226739637033,23.23282329362641,0.2641598944799382,7.94585786234316,0.005260293518572345,0.07252788097395611,0.7550668067443698,4 (9).jpg,Betawi
20,1756.727476788086,28.16488113457771,0.06746722078663948,9.045397220494687,0.00017769696961364843,0.013330302682746872,0.6770057696618202,5 (1).jpg,Cendrawasih
21,1984.5810631568256,31.257728803183042,0.05663470286874253,9.148073552414447,0.00015812058182497967,0.012574600662644507,0.6925814833778374,5 (10).jpg,Cendrawasih
22,1993.96016000005,26.171920000000146,0.20777660490265443,9.162292640507115,0.0007160339999995099,0.02675881163279696,0.81213392711736,5 (11).jpg,Cendrawasih
23,1068.674366230868,23.15399792729576,0.07277431298162547,9.65436358666616,0.00010900624540139344,0.010440605605107083,0.7639688983536967,5 (12).jpg,Cendrawasih
24,1350.0826003132909,20.478390970801396,0.23468508216129003,8.670929781704004,0.001210267863625711,0.034788904317694616,0.7514176115748108,5 (13).jpg,Cendrawasih
25,1578.7051977040735,25.259048150510534,0.13368968352074143,9.384612624633176,0.0006432737821545606,0.025362842548787005,0.8593668645351826,5 (14).jpg,Cendrawasih
26,1691.2218055666604,27.938377316114142,0.09581314691140637,9.623691456914612,0.0006158099847703234,0.024815519030846875,0.7457103588829535,5 (15).jpg,Cendrawasih
27,1359.337080224798,26.103486209172647,0.0500524661800478,9.663468656584293,8.816437940815099e-05,0.009389588883872977,0.6112661800809158,5 (16).jpg,Cendrawasih
28,1388.4113520408198,22.254902742347078,0.1669129498599717,9.187226475511217,0.00036808353123794345,0.01918550315310869,0.8946549502983682,5 (17).jpg,Cendrawasih
29,2022.2327388841525,28.621661244326976,0.1401418992294055,9.469612065230072,0.0004279456076876565,0.02068684624798223,0.7208166070647826,5 (18).jpg,Cendrawasih
